Area,Average Cost,Total Restaurants,Average Rating
Kadubeesanahalli,286.6037414965986,588,3.6608108108108106
Marathahalli,291.2478632478632,585,3.6706422018348626
Rajarajeshwari Nagar,280.32793522267207,494,3.6736842105263157
Indiranagar,355.5083333333333,480,3.7408163265306125
Koramangala,321.725,480,3.6918032786885244
HSR,294.54791666666665,480,3.689189189189189
Central Bangalore,444.03333333333336,480,3.689090909090909
Kammanahalli,313.73541666666665,480,3.6296703296703297
Whitefield,333.26666666666665,480,3.6490384615384617
Yelahanka,289.82916666666665,480,3.6067567567567567
